序号,帖子标题,分类,置信度,关键词,作者
1601,科技系骑士大乱斗，老千真的MVP吧,游戏,0.95,"操你妈的界外者, 吸吸剑, 骑士",KumikoP1
1602,[新闻资讯] [钓鱼氵]nga也是火了，能联动郡士出手涂漆了,手办/周边,0.95,"郡士, 涂漆, 手办",TelluriumHCl
1603,[咒术新作氵]之后该不会出现乙骨孙子用真希奶奶的妹妹真依剑战斗的剧情吧,动画/番剧,0.95,"咒术回战, 乙骨寿, 里香, 真依, 孙女",Hopevheater719
1604,[无聊水一个] 既然谈到占星术杀人魔法，很多人说诡计强但看着很累，但其实只要塑造好一个角色信息密度再...,漫画,0.95,"夕木春央, 方舟, 十戒, 白井智之, 阿索德手记",苍玖
1606,一手指天，一手指地——“天上天下，唯我独尊。”,动画/番剧,0.95,"天上天下，唯我独尊, mon_202509/05/-9lddQ2w-3024ZbT1kSdw-dw.gif",土拨鼠的邻居河狸
1607,有没有啥韩漫推荐，正经的那种，昨晚看了配角反派，还不错,漫画,0.95,"韩漫, 配角, 反派",山村榴花
1610,[海贼王氵]神之岛这剧情感觉是个大雷啊，尾田会处理好吗？,动画/番剧,0.95,"海贼王, 神之岛, 洛克斯, 卡普, 天龙人",kshz2187561
1612,[乱氵]找一部动画,动画/番剧,0.95,"蓝坦克, 绿坦克, 山洞, 人类小孩, 学习软件",maruishi114
1613,[可动成品]水系钢加农，感觉还可以的一只,手办/周边,0.95,"水系钢加农, 手办, 模型",超级机器人大战Y
1615,小偶像你这巧克力位置放的优点危险啊,动画/番剧,0.95,"小偶像, 巧克力, 偶像",Respecolt
1616,自黑骑之后，dc电影续集好像都不佳啊,其他,0.95,"DC电影, 超蝙蝠侠, 沙赞, 海王, 中国票房",炽陨
1618,天龙人这个词的衍生品也挺有意思的，比如天狗人,动画/番剧,0.95,"天龙人, 天狗人, 天皇",大号已禁言
1619,不知道是不是真的，但好期待,动画/番剧,0.95,海贼王,qfvdgj
1621,奥美迦还有翻盘机会吗,动画/番剧,0.95,"奥美迦, 云评价",麦林Mognum
1623,用一点神必发言挑衅deepseek，发现还真能得到不同的结果,游戏,0.95,"口红交易系统, 荧光口红, 下蛋公鸡, 交易系统, 非法交易",Rid修养
1624,咒术博人传，堂堂连载. jpg,动画/番剧,0.95,"咒术博人传, 乙骨, 宿傩",陨污血红
1626,[搬运]我的邪恶实体同事 7 part1 (若有后续也会进行搬运),漫画,0.95,"Senukin, inkrame, 实体同事, 异常实体",狗·德川家康·薛定谔
1628,今天在澳门新葡京看了风筝的中字DVD,动画/番剧,0.95,"风筝, 新葡京, 里番, 枪战, 爆炸场面",伯利欣根和埃达
1629,关于咒术乙骨和里香看了其他社区，发现剧情理解偏差好多,动画/番剧,0.95,"咒术回战, 乙骨忧太, 里香, 剧情理解",小火龙的小尾巴
1657,[搬运]你是苦主勇者，但魔王是你妈,游戏,0.95,"勇者, 魔王, 妈妈, 异世界, 地下城",啤酒供应暂停
1658,安卓平板看视频和漫画，求app推荐,动画/番剧,0.95,"SMB, NAS, MX Player, ComicShare, nPlayer",ねこねこね
1659,问点《秒速五厘米》的剧情问题，可能是小说相关的,轻小说,0.95,"秒速五厘米, 花苗, 科学馆馆长, 宫崎葵, 吉冈秀隆",Overtheworld1st
1683,[搬运] 玄关大战牡蛎牡蛎,动画/番剧,0.95,"玄关, 牡蛎牡蛎",不扭麻花
1686,不剧透的说，盖亚奥特曼是部怎样的作品,动画/番剧,0.95,"盖亚奥特曼, 奥特曼, 攻壳机动队, sac",Daaaaaaaaaa
1688,[可动成品]冷门好物shf g电王,手办/周边,0.95,"SH Figuarts, 电王, 涂装",爆裂战士铁蓝宝
1689,[怪猎当然归猴]哎，xyy猎人，哎，虾头长枪侠,游戏,0.95,"怪猎, 曙光, 冲天, 长枪, 大盾",千年女王斯卡哈
1690,加布完结了，感觉是从一个知所谓的故事变得不知所谓的结束了,动画/番剧,0.95,"加布, 吉普",超级机器人大战Y
1691,总感觉败犬女主剧情发展有种很不妙的既视感啊,动画/番剧,0.95,"败犬女主, 雨森, a, b, 党争",鬼屎蛋
1692,[新番讨论][专楼][第二季2026年1月播出!] 魔都精兵的奴隶/上海空我 [完结撒花][漫改][...,动画/番剧,0.95,"上海空我, 魔防队, 奴隶, 京香, 优希",石中玉5265
1693,[xp氵](TS)有没有这类性转魔法少女的作品 品鉴一下,动画/番剧,0.95,"性转, 魔法少女, 作品, 品鉴",萌化蕃茄
1694,猎人：我打哥斯拉？,游戏,0.95,"怪物猎人, 哥斯拉, 雄火龙, 淡路岛二次元之森",麦林Mognum
1695,有没有什么完全理解对方意识的cp关系性,动画/番剧,0.95,"夏亚, 意识共享, cp关系, 恋爱, 互动",鬼屎蛋
1696,大电绅士,动画/番剧,0.95,"大电绅士, 小林 幸平",徒然ulysses
1697,越来越看不懂漫威争锋的剧情了，这马律师怎么变得这么牛逼了？,动画/番剧,0.95,"漫威, 马律师, 天使姐, CG",流氓切击择投
1698,外国人会让她长几把，而我认为这才是最适合齁哦哦的,动画/番剧,0.95,"安吉拉, 漫威",10RANCE
1699,[资讯]dlsie部分业务调整可能出现的影响,游戏,0.95,"dlsite, viviON, 点数",chd1144
1700,[破事氵] 无职的龙老板轮回那么多次都没破局，站上帝视角看完全是应得的,游戏,0.95,"GALGAME, 龙老板, 选项, 路线, BE",千早如月
1701,说实话，咒术现在来看虎杖主角位确实是被夺舍了,动画/番剧,0.95,"咒术回战, 虎杖悠仁, 乙骨忧太",会近战的法师
1702,死灵之子这几个邪神明明前期塑造很好的,游戏,0.95,"死灵之子, 克图, 鸟哥, 克苏鲁, 古神",知世就是力量z
1703,宝可梦NPC的配队有时候还挺有意思的,游戏,0.95,"宝可梦, 大钢蛇, 长耳兔, 渡, 铁甲贝",╭老船长﹎
1704,游戏里，口袋妖怪对战中真有吃药的机会吗？,游戏,0.95,"口袋妖怪, 对战, 烈度, 吃药, 防御",南方要塞
1707,[机战Y氵] 邱尼原来是这么小心眼的人设么？,动画/番剧,0.95,"机动战士高达, 夏亚, 卡谬, 葵司, 邱尼",不可估量之触
1684,不吃女女关系性的人玩的进去魔裁吗？,游戏,0.95,"弹丸, 百日弹丸",人生太过儿戏
1682,被誉为史上最差的一个动漫区YouTuber的顺位表视频。,动画/番剧,0.95,"YouTuber, 动画区, 顺位表, 欧美nerd, VTuber",10RANCE
1660,四皇拯救者 龙 现任4个4皇，3个他救的，一个他儿子，这关系网无敌了,动画/番剧,0.95,"四皇, 龙, 拯救者, 4皇, 儿子",单纯爱裤衩
1681,[怀旧氵]现在来看亚丝娜的人设是真的相当不错且成功吧,动画/番剧,0.95,"亚丝娜, 刀剑神域, 绝剑篇, 大和抚子",Respecolt
1661,新婚的魅魔妻子,动画/番剧,0.95,"魅魔, 新婚",丶夜鹰之梦丶
1662,[fate水]话说如果有士郎召唤小莫的if，大概会是怎样发展？,动画/番剧,0.95,"fate, 士郎, 小莫",赤鬼面具
1663,[无聊水一个]名场面：小莫又被捅了,漫画,0.95,"二世, 漫画",八云 紫
1665,开个外星人姆姆讨论贴，没找到专楼,动画/番剧,0.95,"外星人, 姆姆, 社恐, 土妹子, 键帽拆家哈气",wolflone
1666,[小道消息]婚姻毒素 2026年TV动画化,动画/番剧,0.95,"婚姻毒素, 动画化",SakaiShana
1667,看了加布的老大哥.jpg,游戏,0.95,黑神,KumikoP1
1668,[新闻资讯] GSC <崩坏：星穹铁道> 粘土人 大黑塔,手办/周边,0.95,"崩坏：星穹铁道, GSC, 粘土人, 大黑塔, 手办",hcahcsroR
1669,遇上真色孽了,动画/番剧,0.95,"真色孽, 热熔胶, 活阎王",猪咪爱困
1670,鼬连小孩一起杀，是不是为了杜绝下一个宇智波斑？那宇智波斑真站在他面前为什么不杀呢？,动画/番剧,0.95,"鼬, 带土, 宇智波斑, 晓",倚剑笑紅尘
1671,火影那个反手拿苦无护在身前的姿势咋写,动画/番剧,0.95,"火影, 苦无, 护, 姿势",即食型派蒙
1672,[魔女裁判]我应该玩《魔法少女的魔女审判》吗？自查清单！,游戏,0.95,"魔女裁判, CircleLineGames, 梅まろ, 井口裕香, 小清水亜美",arccta
1673,[胡言乱语] 对于“命运”的一种迷思,动画/番剧,0.95,"命运, jojo, 世界线收束, 尼采, 时间",量介
1674,马娘到底怎么能做到一点都不露却好有感觉的,动画/番剧,0.95,"马娘, AI图, 感觉",反式D羟脯氨酸
1675,求问一张美铃的图,动画/番剧,0.95,"美铃, p, 偷钥匙, 虚拟主播/VTuber",疯狂的姬厨
1676,[资讯] 细田守 新片《无尽希望的斯嘉丽》威尼斯电影节首映后观众评价,动画/番剧,0.95,"细田守, 无尽希望的斯嘉丽, 威尼斯电影节",turuiren
1677,[人工智能]左二和右一是谁，哪部作品里的,动画/番剧,0.95,"人工智能, 妹控, 作品",一般路过用户
1678,[威廉冻]日本的太空科幻类作品 还有像萨姐这种人设吗,动画/番剧,0.95,"威廉冻, 萨姐, 安吉拉, 乐园追放, 凯瑞甘",嚣张桐人
1679,[速报]芥见下下宣布连载《咒术回战》续集，由乙骨和真希的孙子孙女当主角,漫画,0.95,"咒术回战, 乙骨流川, 真希面青, 续集, 孙子孙女",柏木麻友
1680,[机战氵]哪天战队要是出了官方动画，应该会光速进机战正作的吧(我知道手游上过了),动画/番剧,0.95,"机动战士高达, 万代, 特摄改动画, 哥斯拉, 假面骑士W",南野奏太
1598,[新闻资讯] 角川 1/7 <魔法少女伊莉雅 第四季> 伊莉雅丝菲尔 15th anniversar...,手办/周边,0.95,"魔法少女伊莉雅 第四季, 伊莉雅丝菲尔, 角川, Fate/kaleid liner, 手办",hcahcsroR
1597,哦牛批，还真叫百式,动画/番剧,0.95,"百式, 浮莲子",千酒参
1596,[新闻资讯] MegaHouse 怪兽年代记 <游戏王：怪兽之决斗> 暗黑魔龙,手办/周边,0.95,"MegaHouse, 怪兽年代记, 游戏王GX, 暗黑魔龙, PVC&ABS",hcahcsroR
1513,B站现在怎么看视频分区？,动画/番剧,0.95,"B站, 视频分区, up",挽风肆月
1515,无惨严肃指出：鬼杀队不是正常组织，而我才是正常想法,漫画,0.95,"鬼灭之刃, 无惨",倚剑笑紅尘
1517,偶然回忆到血战界限了，ed真好听。,动画/番剧,0.95,"血战界限, ED, 跳舞",戴上虚伪的假面
1518,[百变怪娘]守护,动画/番剧,0.95,"百变怪娘, 守护",SakaiShana
1519,[讨论]很好奇大家怎么看恋人不行里的翅膀打结情节的？,动画/番剧,0.95,"恋人不行, 玲奈子, 紫阳花, 真纱, 纱月",迷之施法者
1521,妖怪类动画确实少了啊，天狗人都没人get得到,动画/番剧,0.95,"天狗, 悠仁, 天龙人造词",大号已禁言
1522,[破事氵] 圣斗士星矢这漫画，最硬的绝对不是圣衣，而是头,动画/番剧,0.95,"圣斗士星矢, 小强, 星矢, 攻击, 飞上天",千早如月
1523,我的邪异实体同事7 Part1,游戏,0.95,"我的邪异实体同事, Wabbajack, 实体人偶",SakaiShana
1524,JJXX要不是健忘，要不是从来不弄大纲对整体把控极差,动画/番剧,0.95,"钉崎野蔷薇, 咒术回战, 真希, 禅院家, 天与",街健夜鱼
1525,这就是站在所有赛马娘顶点的日本第一匹无败三冠马,动画/番剧,0.95,"赛马娘, 鲁道夫",Respecolt
1526,海贼王吃了鱼鱼果实，掉进海里会怎么样？,动画/番剧,0.95,"海贼王, 鱼鱼果实, 恶魔果实, B站",岩砂土
1527,[破事氵] 贤者时间，能产卵的是不是都是雌性,动画/番剧,0.95,"贤者时间, 触手, 虫X",绯夜氏
1529,这个大姐姐cos的还原吗,动画/番剧,0.95,"cosplay, 大姐姐",Just｜Monika
1530,神奇宝贝和数码宝贝出的“人形态”是不是有点过多,游戏,0.95,"神奇宝贝 (宝可梦), 数码宝贝, 布鲁可, 人形态, 超级英雄",ganjialunss
1531,[海贼王氵] 海贼是不是坏人没死过死的全是好人,动画/番剧,0.95,"海贼王, 路飞, 乙姬王妃, 泰格, 嘉路德圣",冰上的谢宝庆
1532,无敌天际：抓根宝战争,轻小说,0.95,"无敌天际, 抓根宝, 帕尔图纳克斯, 邪恶",ssdsssssss
1533,海贼王所在的星球，估计体积能比地球大几十倍,动画/番剧,0.95,"海贼王, 阿拉巴斯坦, 伟大航路",岩砂土
1534,[乱氵]妹系题材的动画作品是不是式微了？,动画/番剧,0.95,"黄漫老师, 义妹, 俺妹",您是我的安息香吗
1535,纸上魔法使打完了，分享一下最后的感想,游戏,0.95,"枪与剑, 克丽索贝丽德, 游行寺, 魔法使, ntr",薄荷口味奥利奥
1537,意想不到的惠惠虐,动画/番剧,0.95,"惠惠, 索尼子",fkh012345
1514,[新闻资讯] 寿屋 1/12 <洛克人X> 杰洛 1st Ver.,手办/周边,0.95,"洛克人X, 杰洛, 寿屋, 1/12",hcahcsroR
1512,令和假面骑士天启四骑士现状,动画/番剧,0.95,"假面骑士天启, 令和",林中南
1539,[手办]新到的贝奇,手办/周边,0.95,"贝奇, 手办, B站",爱仕达sk
1511,乙骨孙女长大后竟然这么秀气,动画/番剧,0.95,"乙骨孙女长大后, 动画",RExiaAsuka
1486,压力太大穿地雷系的基拉大和,动画/番剧,0.95,"基拉, 穿地雷系",丶夜鹰之梦丶
1487,gal为什么一到hs就要脱丝袜？,动画/番剧,0.95,"gal, 脱丝袜, 场景, 画师",活久见套路深
1489,我的同事是古神,动画/番剧,0.95,"古神, 神, 异世界, 冒险",Just｜Monika
1490,[新闻资讯] PROOF 1/7 <莉可丽丝> 锦木千束 冬装ver.,手办/周边,0.95,"莉可丽丝, 锦木千束, 冬装ver., PROOF, 井上泷奈",hcahcsroR
1492,早上的円香和夜晚的円香,动画/番剧,0.95,"円香 (Enka), NGA",Respecolt
1493,原来卡密是妹控，这下变成妹控的神了,动画/番剧,0.95,"弥海砂, 月心, 卡密, 妹控",Laplacian牛顿
1494,不时用俄语说真心话的邻桌艾莉同学,动画/番剧,0.95,"艾莉, 邻桌, 俄语",Just｜Monika
1495,[新闻资讯] OtakuToys 1/6 妖狐修道姬,手办/周边,0.95,"OtakuToys, 妖狐修道姬, 1/6比例, PVC&ABS, 挂画",hcahcsroR
1496,[新番讨论][专楼] 明天，美食广场见。 [完结撒花][漫改][2025年7月],动画/番剧,0.95,"美食广场见, 和田, 山本, 宫崎ヒヨリ, 青山吉能",石中玉5265
1499,能看出来円香心情确实还不错,动画/番剧,0.95,"円香, mon",GoldenAlien
1501,加布现在最恐怖的地方大概是目前风评应该还没到底,动画/番剧,0.95,"风评, V篇, 水母哥, 香槟, 来打棚剧情滑坡",麦林Mognum
1502,[破事氵]无内鬼，来点第一部主角是第二部boss的作品,动画/番剧,0.95,"第一部, 主角, 第二部, boss",巅峰武帝龙傲天
1503,[拼装]mgsd命运和大班8828，谁是最丑命运翅膀,手办/周边,0.95,"命运, 大班, 翅膀, 国模, 刺猬",面包与奶油
1504,[可动成品] GU牛的身形真不错,手办/周边,0.95,"GU牛, r魂, rg, 魂商店, 手办",我就是超威蓝胖
1505,[魔女审判氵] 皆有结尾，结尾凄美(大概没有重要剧透),游戏,0.95,"魔法少女的魔女审判, 樱羽艾玛, 二阶堂希罗, 玛格, 咒灵",arccta
1506,追完配角学院生存了，太尼玛好看了，求代餐推荐,漫画,0.95,"配角学院, 轮回篇, 西格玛, 韩漫, 后宫",qaz911420
1508,原来b站也有超前点映这一套啊。,动画/番剧,0.95,"B站, 超前点映",暗淡蓝点n
1509,其实雷之呼吸只要把第一式练到极致就可以了吧,动画/番剧,0.95,"雷之呼吸, 第七式, 师兄",想退休0219
1510,把看过尸体派对的大伙丢进天神小学，大伙有多少把握逃出来,动画/番剧,0.95,"尸体派对, 天神小学",月雾泉
1538,有没有rebuild world的代餐，在高科技废土文明上捡垃圾的漫画,漫画,0.95,"rebuild world, 高科技废土文明, 纳米机械, 怪兽, 暴走",即食型派蒙
1540,[可动成品] 一个30多的大叔喜欢玩娃娃是很合理的——光魇双生可动人偶开盒,手办/周边,0.95,"光魇, 双生可动人偶, 偷心糖, 手办, 盲盒",高德瑞克
1595,[拼装]酋长大陆雄鹿,手办/周边,0.95,"酋长, 雄鹿, 无盒版, 全黑, 手办",molsama
1569,仙气飘飘的大黄蜂,动画/番剧,0.95,"大黄蜂, 仙气飘飘",8c18ab
1572,这种桥段真的让我很有感触,漫画,0.95,"三流反派, 学院生存记",居家阿宅
1573,战壕十字军，火炮女巫，GK笔涂,动画/番剧,0.95,"战壕十字军, 火炮女巫, GK笔涂",乌拉贝
1574,高情商：远野光小姐有意向加入bang dream企划吗(,音乐/歌曲,0.95,"Bang Dream, 梦之结, 小马, AI音乐, 声库",Calet
1575,恭喜机战Y产生了新论战幻神，战前研究鸟。,动画/番剧,0.95,"机动战士高达, 翔, 基神, 卡莲",八云紫
1576,我们泥潭也出息了，牛皮藓小广告都用上泥潭的画面了,游戏,0.95,"垃圾小游戏, mon_202509/05/-9lddQ2w-dy6aK1lT3cSop-sg",╭老船长﹎
1577,新版龟兔赛跑，还真是打假赛啊,游戏,0.95,"龟兔赛跑, 打假赛",Just｜Monika
1579,mod玩家真实了，游戏一更新mod全得重装，有的游戏一装装一天还会出现莫名其妙的bug,游戏,0.95,"mod, bug, 游戏更新, 重装",Just｜Monika
1580,《阴阳回天》这个boss的能力和JOJO迪亚波罗比起来如何,动画/番剧,0.95,"阴阳回天, JOJO迪亚波罗",亲密无间大乱揍
1581,神椿市确实挺适合某些小众xp胃口,动画/番剧,0.95,"神椿市, 双人露营",fkh012345
1582,说起新三国的梗，影响力最大的还是这个吧，甚至都产生某种群体幻觉了,游戏,0.95,"三国, 吕布, 马超, 曼德拉效应",sakmok-4号机
1583,一人氵，想到了个避免ntr的办法,动画/番剧,0.95,"哈基吕, 王子仲, 端木教培, 吕家",有时有爱
1584,这届MB是真不行,手办/周边,0.95,"高达, MB, Hirm, 神意, 京宝梵",巴萨卡
1585,恋爱的咒语,动画/番剧,0.95,恋爱的咒语,SakaiShana
1586,[求助] 加载模型出现错误，疑似跟权重有关……,其他,0.95,"ComfyUI, nooba xl-v-prediction 1.0, diffusion_model, input_blocks, 权重",这是初步的问题
1587,W30周年水：很难想象这些事情能同时出现在第一话里,动画/番剧,0.95,"W30周年, 莉莉娜, 希罗, EVA, 第一话",AlexiusRH
1589,时间停止系列感觉三次元比二次元好看,动画/番剧,0.95,"时间停止, PPT, 透明人, 日常",闪光猫头鹰哦
1590,[同人] [MYGO] [ansy] 素爱盒祥事件 [堂堂完结],漫画,0.95,"祥子, 素世, 爱音, 同人, MYGO",献给虚无
1591,我发现冰海战记的留存率也是离谱,动画/番剧,0.95,冰海战记,消灭来犯之鱼
1592,[新闻资讯] Alter 1/7 <胜利女神：妮姬> 诺亚尔&布兰儿 Bunny X 777 Ver...,手办/周边,0.95,"胜利女神：妮姬, Alter, 诺亚尔, 布兰儿, Bunny X 777 Ver.",hcahcsroR
1571,二刷斩服少女，还是没看懂这里是什么槽点,动画/番剧,0.95,"斩服少女, 无修版, B站",无数黑夜
1568,[龙族氵]最近闲着无聊看了新龙四……,动画/番剧,0.95,"龙族, 路明非, 昆古尼尔, 诺顿, 黑王",ssyBB
1541,新三国里孙权也太双面人了吧。,游戏,0.95,"新三国, 孙权, 周瑜",韩老魔航天尊
1567,《想要去爱恋剑客大姐姐》,动画/番剧,0.95,"爱恋剑客, 大姐姐",Just｜Monika
1543,[新闻资讯] 角川 1/7 超级索尼子 惠惠Ver.,手办/周边,0.95,"超级索尼子, Nitroplus, 为美好的世界献上祝福！, 津路参汰",hcahcsroR
1546,佐助挂树上好几年会晒黑吗？,动画/番剧,0.95,"鸣人, 佐助, 火影",IF YOU。。
1547,[破事氵]不是iivv还能破防百合豚啊,动画/番剧,0.95,"真希, txl, 百合豚",进你魔米
1548,着装错误的女仆们,动画/番剧,0.95,"女仆, 着装错误",丶夜鹰之梦丶
1550,[破事氵]E社开窍了吗,游戏,0.95,"E社, Steam, 游戏",wwwwway
1551,《假面骑士欧兹》开播15周年,动画/番剧,0.95,"假面骑士欧兹, 15周年",SakaiShana
1552,[可动成品]优质ko-md005镜像柱,手办/周边,0.95,"ko-md005, 镜像柱, 调教",血魔-D
1553,用ipad看漫画，买哪款比较合适？,漫画,0.95,"ipad, 漫画, 动画",木崎江利花
1555,[老婆氵]这季度都过去三分之二了，谁是你们心目中的老婆呢？,动画/番剧,0.95,"银河特急, 真希奈, 17号局, 千春, 机器人",witchspring
1556,换家的话，对面捡到章鱼P的班级是不是GG了,动画/番剧,0.95,"章鱼P, 班级, 捡到",即食型派蒙
1557,因为没看到有人搬，所以就来搬运一下：国产战姬,其他,0.95,"国产战姬, J35, 鹘鹰, 珠海航展, 歼35",雨-沢
1558,龙族氵 刚重温了一遍龙族3，真好看吧。不过有两个地方有点难绷所以要吐槽一下,游戏,0.95,"龙族3, 江南, 赫尔佐格, 绘梨衣, 路明非",xyz_official
1559,莫非，这就是如龙里那个传说中的男人？,游戏,0.95,"如龙, Ryuhei Saitou, 龙之王",Just｜Monika
1561,佐仓：我们在车上说的话千万不要说出来好不好,动画/番剧,0.95,"佐仓翼, 机动战士高达W",SakaiShana
1562,[假面骑士氵]超越主宰最离谱的还是没有哪怕一场公认爽快含金量又高的胜利,游戏,0.95,"假面骑士, 马克九, 牢彩, 零, 超越主宰",致化作光明的你
1563,你好sao啊,动画/番剧,0.95,"Sao, 包",shin_Eclair
1564,[有剧透][有剧透]丝之歌本体共有5个结局(第五个结局是重点),动画/番剧,0.95,"丝之歌, 伊修, 艾丝黛尔, 艾丝黛尔·菲尼克斯, 伊修·菲尼克斯",八云 紫
1565,黑胡子不会要洗白吧？,漫画,0.95,"海贼王, 黑胡子, 洛克斯, 白胡子, 罗杰",cab226
1566,[新闻资讯] 角川 1/7 绚濑绘里 LoveLive!Days 5th Anniversary v...,手办/周边,0.95,"LoveLive!, 绚濑绘里, LoveLive!Days, 伊能津, 黑泽黛雅",hcahcsroR
1709,[变形金刚氵] 会不会有这么一个平行世界,动画/番剧,0.95,"变形金刚, G1威震天, 霸天虎, 破坏大帝, 变形金刚",麦林Mognum
1711,拉克丝小姐的驾驶服一定很好看吧,动画/番剧,0.95,"拉克丝, 驾驶服",oftc3121
2402,希罗，你怎么到处串场,动画/番剧,0.95,"希罗, 动画",TelluriumHCl
1857,[百变怪娘]挑衅,动画/番剧,0.95,百变怪娘,SakaiShana
1847,[无聊水一个]极狐这个马可九形态到底咋回事,游戏,0.95,"极狐, 马可, 创世之力, 黑目空我, 无敌玩家",清姬_
1848,[非招魂] 你知道吗，《尸体派对II》第二次跳票了,游戏,0.95,"尸体派对II, Darkness Distortion, MAGES., Bilibili, 试玩录像",达布斯塔·霜心
1849,[新闻资讯] MegaHouse AWM <游戏王：怪兽之决斗> 龙骑士黑魔导女孩,手办/周边,0.95,"MegaHouse, ART WORKS MONSTERS, 游戏王：怪兽之决斗, 龙骑士黑魔导女孩, PVC&ABS",hcahcsroR
1851,[漫画讨论]天麻290,游戏,0.95,"天麻, saki, 鸭神, 大笨淡, 南一",阿夏忘了账号
1852,[破事氵] 关于江南奥特曼那个梗一般会反转两次,动画/番剧,0.95,"奥特曼, 江南, 迪迦, 高斯, 龙族",观夏sv
1853,现在想偷点懒不想自己找资源看漫画的话，是不是只有b漫和拷贝两条路子了？,漫画,0.95,"b漫, 拷贝, 海虎, 剑风传奇, idw",忍武者
1854,事件簿漫画，全新版本的捅儿枪画面，摩根登场,漫画,0.95,"事件簿, 摩根, 捅儿枪",久远寺宅的草十郎
1855,相比达人们，隔壁少女们又是何方神圣？,动画/番剧,0.95,"少女, 隔壁, 达人们",小独角丘比猫
1856,在OVA的黄金时代真的是任何作品的时髦值都跟怪物一样,动画/番剧,0.95,"科学忍者队, OVA, Let's Fly, Lance Matthew, 星际牛仔",南门荣
1858,加藤拓弍 机械宠物猎人,游戏,0.95,"机械宠物猎人, 加藤拓弍",SakaiShana
1713,有没有以独角兽或者麒麟作为创作题材的作品值得推荐一下？,动画/番剧,0.95,"高达0096, 圣兽之王, 独角兽霸主, 麒麟降临, 明智光秀",#anony_3e9fec2cf55c3f13501dab4970f7fe31
1859,这就是月丑的丑态.jpg,游戏,0.95,"FGO (Fate/Grand Order), 月丑, 转生成为超级美少女大小姐",发散的星之花
1860,[漫画讨论] 有鬼拍不到,漫画,0.95,"有鬼, 女主",我最爱吃米饭
1862,胡思乱想一下佐助性转文爆点,轻小说,0.95,"鸣人, 佐助, 卡卡西, 樱, 大蛇丸",牧念扉
1863,《姬骑士是蛮族的新娘》动画延期至2026年4月,动画/番剧,0.95,"姬骑士, 蛮族, 新娘",SakaiShana
1864,[拼装]精 品 答 便，SV翻模自由传送门。,手办/周边,0.95,"SV翻模, 自由精修, 高达2.0, 拼装, MB样式",匆是青的松
1865,[吊带袜氵]p姐这套设备感觉可以和q哥交流一下了,虚拟主播/VTuber,0.95,"p姐, q哥, 恶搞之家, 全自动机器",不是地球人jk
1867,不限男女吗？那良子……,动画/番剧,0.95,"良子, mon_202509",暗淡蓝点n
1870,[新闻资讯] Flame Toys [风雷模型] 擎天柱(进化版),手办/周边,0.95,"Flame Toys, 擎天柱, 柯柏文, 变形金刚：进化版, 离子战斧",hcahcsroR
1872,藤本树已经摆烂到把图层画错了,漫画,0.95,"藤本树, 图层, 摆烂, mon_202509/03/-9lddQ2w-k1lmZhT3cSk1-sg",楠船信笺
1846,选一部gal玩选哪个,动画/番剧,0.95,"樱之诗, 纸上的魔法使, baldr sky, 巴卜",薄荷口味奥利奥
1845,CCC联动漫画，糖果藤蔓,漫画,0.95,"CCC联动, 糖果藤蔓",久远寺宅的草十郎
1844,推测一下黑胡子最后被路飞打败，是因为他一直在为自己父亲和家族的梦想而活。,动画/番剧,0.95,"海贼王, 黑胡子, 路飞, 尾田荣一郎",新死难者23eer
1843,'公主骑士是蛮族的新娘'放送時期延期,动画/番剧,0.95,"公主骑士, 蛮族, 新娘",蛋黄酱火腿吞拿
1817,现在看洛克斯斩杀大将的战绩也没那么硬,动画/番剧,0.95,"洛克斯, 大将, 海贼王, 顶上战争",岩砂土
1818,[漫画讨论] 看美漫总觉得收容突破那一幕最帅,漫画,0.95,"美漫, dc, 漫威, 反派, 监狱",动态清零必失败
1819,[无聊水一个] 12岁的慎二能成为天才投资家吗？,动画/番剧,0.95,"Fate/Zero, 慎二, 大圣杯, 间桐樱, 妖精",惫懒的某鱼
1820,找一个密室逃脱类型的漫画，可能是国漫,漫画,0.95,"密室逃脱, 纯白色房间, 柱子, 逃脱, 尸体",浠特坶莱
1821,话说合金装备里的贤者遗产到uc够打多久,游戏,0.95,"合金装备, 贤者遗产, 扎古, UC",oftc3121
1822,汉化组发力了,动画/番剧,0.95,"汉化组, mon_202509, drmlZcT3cSsg, g0",oftc3121
1824,B站上亮剑了,动画/番剧,0.95,"亮剑, B站",淮云道
1826,洛克斯团这刻画下来完全搞不懂怎么被击败的,游戏,0.95,"洛克斯, 斯图西, 凯多, 白胡子, 罗团",462sd
1827,原来餐厅也能叠魂环的吗,动画/番剧,0.95,"叠魂环, 餐厅, 猝死, 骨灰装饰",是萝莉就能当妈妈
1828,明哥真是被他爹坑惨了。,动画/番剧,0.95,"明哥, 女帝, 同事关系",莫克姆球迷
1829,健身环怎么真是RPG玩法啊),游戏,0.95,"健身环, RPG, 刷级, 组, 关",三月七的冒烟白丝
1832,杀死栋梁消耗的是我(大嘘,游戏,0.95,"NGA, 杀戮尖叫, mon_202509, 202509, 3s80ZfT3cSjv",即食型派蒙
1833,给坛友推荐个上班摸鱼用的网页游戏pokeclicker，就是收集宝可梦然后不断挂机变强的数值game...,游戏,0.95,"pokeclicker, 宝可梦, 挂机, 数值game",#anony_d0b1025cb81629f9f4695dd4dbc28eb9
